"Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition","Probabilities.No","Probabilities.Yes"
18,"Travel_Rarely", 230,"Research & Development", 3,3,"Life Sciences",1, 405,3,"Male", 54,3,1,"Laboratory Technician",3,"Single", 1420,25233,1,"Y","No",13,3,3,80,0, 0,2,3, 0, 0, 0, 0,"Yes",1.163139e-01,8.836861e-01
42,"Travel_Frequently", 458,"Research & Development",26,5,"Medical",1,1242,1,"Female", 60,3,3,"Research Director",1,"Married",13191,23281,3,"Y","Yes",17,3,3,80,0,20,6,3, 1, 0, 0, 0,"No",9.506923e-01,4.930770e-02
40,"Non-Travel",1151,"Research & Development", 9,5,"Life Sciences",1, 287,4,"Male", 63,2,2,"Healthcare Representative",4,"Married", 4876,14242,9,"Y","No",14,3,4,80,1, 5,5,1, 3, 2, 0, 2,"No",8.752617e-01,1.247383e-01
43,"Travel_Rarely", 782,"Research & Development", 6,4,"Other",1, 661,2,"Male", 50,2,4,"Research Director",4,"Divorced",16627, 2671,4,"Y","Yes",14,3,3,80,1,21,3,2, 1, 0, 0, 0,"No",9.989267e-01,1.073285e-03
40,"Travel_Rarely", 107,"Sales",10,3,"Technical Degree",1,1239,2,"Female", 84,2,2,"Sales Executive",2,"Divorced", 6852,11591,7,"Y","No",12,3,2,80,1, 7,2,4, 5, 1, 1, 3,"No",5.624414e-01,4.375586e-01
27,"Travel_Rarely",1054,"Research & Development", 8,3,"Medical",1,1751,3,"Female", 67,3,1,"Research Scientist",4,"Single", 3445, 6152,1,"Y","No",11,3,3,80,0, 6,5,2, 6, 2, 1, 4,"No",6.075426e-01,3.924574e-01
37,"Travel_Rarely",1225,"Research & Development",10,2,"Life Sciences",1, 715,4,"Male", 80,4,1,"Research Scientist",4,"Single", 4680,15232,3,"Y","No",17,3,1,80,0, 4,2,3, 1, 0, 0, 0,"No",5.524860e-01,4.475140e-01
36,"Travel_Rarely",1403,"Research & Development", 6,3,"Life Sciences",1, 373,4,"Male", 47,3,1,"Laboratory Technician",4,"Married", 3210,20251,0,"Y","No",11,3,3,80,1,16,4,3,15,13,10,11,"No",9.996444e-01,3.556336e-04
27,"Travel_Rarely", 199,"Research & Development", 6,3,"Life Sciences",1,1162,4,"Male", 55,2,1,"Research Scientist",3,"Married", 2539, 7950,1,"Y","No",13,3,3,80,1, 4,0,3, 4, 2, 2, 2,"No",6.221805e-01,3.778195e-01
35,"Travel_Rarely",1017,"Research & Development", 6,4,"Life Sciences",1, 691,2,"Male", 82,1,2,"Research Scientist",4,"Single", 6646,19368,1,"Y","No",13,3,2,80,0,17,3,3,17,11,11, 8,"No",9.840388e-01,1.596118e-02
30,"Travel_Rarely", 945,"Sales", 9,3,"Medical",1,1876,2,"Male", 89,3,1,"Sales Representative",4,"Single", 1081,16019,1,"Y","No",13,3,3,80,0, 1,3,2, 1, 0, 0, 0,"Yes",8.914532e-02,9.108547e-01
33,"Travel_Frequently",1303,"Research & Development", 7,2,"Life Sciences",1,1970,4,"Male", 36,3,2,"Healthcare Representative",3,"Divorced", 5968,18079,1,"Y","No",20,4,3,80,3, 9,2,3, 9, 7, 2, 8,"No",9.985418e-01,1.458237e-03
58,"Travel_Frequently", 781,"Research & Development", 2,1,"Life Sciences",1, 918,4,"Male", 57,2,1,"Laboratory Technician",4,"Divorced", 2380,13384,9,"Y","Yes",14,3,4,80,1, 3,3,2, 1, 0, 0, 0,"Yes",1.564571e-01,8.435429e-01
55,"Travel_Rarely",1229,"Research & Development", 4,4,"Life Sciences",1,1501,4,"Male", 30,3,2,"Healthcare Representative",3,"Married", 4035,16143,0,"Y","Yes",16,3,2,80,0, 4,2,3, 3, 2, 1, 2,"No",8.625888e-01,1.374112e-01
34,"Travel_Rarely",1111,"Sales", 8,2,"Life Sciences",1, 808,3,"Female", 93,3,2,"Sales Executive",1,"Married", 6500,13305,5,"Y","No",17,3,2,80,1, 6,1,3, 3, 2, 1, 2,"No",8.163964e-01,1.836036e-01
26,"Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",1,  55,1,"Male", 48,1,1,"Laboratory Technician",3,"Single", 2293,10558,1,"Y","No",12,3,3,80,0, 1,2,2, 1, 0, 0, 1,"Yes",1.060257e-02,9.893974e-01
28,"Travel_Frequently", 773,"Research & Development", 6,3,"Life Sciences",1,1154,3,"Male", 39,2,1,"Research Scientist",3,"Divorced", 2703,22088,1,"Y","Yes",14,3,4,80,1, 3,2,3, 3, 1, 0, 2,"Yes",2.620735e-01,7.379265e-01
34,"Travel_Frequently", 988,"Human Resources",23,3,"Human Resources",1, 590,2,"Female", 43,3,3,"Human Resources",1,"Divorced", 9950,11533,9,"Y","Yes",15,3,3,80,3,11,2,3, 3, 2, 0, 2,"No",8.539745e-01,1.460255e-01
54,"Travel_Rarely", 548,"Research & Development", 8,4,"Life Sciences",1, 578,3,"Female", 42,3,2,"Laboratory Technician",3,"Single", 3780,23428,7,"Y","No",11,3,3,80,0,19,3,3, 1, 0, 0, 0,"No",7.624648e-01,2.375352e-01
30,"Travel_Rarely", 330,"Human Resources", 1,3,"Life Sciences",1,1499,3,"Male", 46,3,1,"Human Resources",3,"Divorced", 2064,15428,0,"Y","No",21,4,1,80,1, 6,3,4, 5, 3, 1, 3,"No",7.775450e-01,2.224550e-01
58,"Travel_Frequently",1216,"Research & Development",15,4,"Life Sciences",1,1837,1,"Male", 87,3,4,"Research Director",3,"Married",15787,21624,2,"Y","Yes",14,3,2,80,0,23,3,3, 2, 2, 2, 2,"No",9.981323e-01,1.867718e-03
47,"Travel_Rarely",1225,"Sales", 2,4,"Life Sciences",1,1676,2,"Female", 47,4,4,"Manager",2,"Divorced",15972,21086,6,"Y","No",14,3,3,80,3,29,2,3, 3, 2, 1, 2,"No",9.999721e-01,2.787368e-05
45,"Non-Travel",1238,"Research & Development", 1,1,"Life Sciences",1,1712,3,"Male", 74,2,3,"Healthcare Representative",3,"Married",10748, 3395,3,"Y","No",23,4,4,80,1,25,3,2,23,15,14, 4,"No",9.999762e-01,2.380464e-05
28,"Non-Travel",1103,"Research & Development",16,3,"Medical",1,1947,3,"Male", 49,3,1,"Research Scientist",3,"Single", 2144, 2122,1,"Y","No",14,3,3,80,0, 5,3,2, 5, 3, 1, 4,"No",5.418438e-01,4.581562e-01
45,"Travel_Rarely",1339,"Research & Development", 7,3,"Life Sciences",1,  86,2,"Male", 59,3,3,"Research Scientist",1,"Divorced", 9724,18787,2,"Y","No",17,3,3,80,1,25,2,3, 1, 0, 0, 0,"No",9.913785e-01,8.621538e-03
27,"Travel_Frequently", 994,"Sales", 8,3,"Life Sciences",1,  56,4,"Male", 37,3,3,"Sales Executive",3,"Single", 8726, 2975,1,"Y","No",15,3,4,80,0, 9,0,3, 9, 8, 1, 7,"No",9.554395e-01,4.456053e-02
32,"Travel_Rarely", 588,"Sales", 8,2,"Technical Degree",1, 436,3,"Female", 65,2,2,"Sales Executive",2,"Married", 5228,24624,1,"Y","Yes",11,3,4,80,0,13,2,3,13,12,11, 9,"No",9.534279e-01,4.657209e-02
29,"Travel_Rarely", 598,"Research & Development", 9,3,"Life Sciences",1,1558,3,"Male", 91,4,1,"Research Scientist",3,"Married", 2451,22376,6,"Y","No",18,3,1,80,2, 5,2,2, 1, 0, 0, 0,"No",5.975410e-01,4.024590e-01
30,"Non-Travel", 829,"Research & Development", 1,1,"Life Sciences",1, 292,3,"Male", 88,2,3,"Manufacturing Director",3,"Single", 8474,20925,1,"Y","No",22,4,3,80,0,12,2,3,11, 8, 5, 8,"No",9.969732e-01,3.026839e-03
34,"Travel_Rarely", 216,"Sales", 1,4,"Marketing",1,1047,2,"Male", 75,4,2,"Sales Executive",4,"Divorced", 9725,12278,0,"Y","No",11,3,4,80,1,16,2,2,15, 1, 0, 9,"No",9.913714e-01,8.628603e-03
26,"Travel_Rarely",1146,"Sales", 8,3,"Technical Degree",1, 796,4,"Male", 38,2,2,"Sales Executive",1,"Single", 5326, 3064,6,"Y","No",17,3,3,80,0, 6,2,2, 4, 3, 1, 2,"Yes",1.174268e-01,8.825732e-01
33,"Travel_Rarely", 516,"Research & Development", 8,5,"Life Sciences",1,1515,4,"Male", 69,3,2,"Healthcare Representative",3,"Single", 6388,22049,2,"Y","Yes",17,3,1,80,0,14,6,3, 0, 0, 0, 0,"No",5.974224e-01,4.025776e-01
29,"Travel_Frequently", 115,"Sales",13,3,"Technical Degree",1,1487,1,"Female", 51,3,2,"Sales Executive",2,"Single", 5765,17485,5,"Y","No",11,3,1,80,0, 7,4,1, 5, 3, 0, 0,"Yes",2.116622e-02,9.788338e-01
25,"Travel_Rarely", 882,"Research & Development",19,1,"Medical",1,1358,4,"Male", 67,3,1,"Laboratory Technician",4,"Married", 3669, 9075,3,"Y","No",11,3,3,80,3, 7,6,2, 3, 2, 1, 2,"No",8.453053e-01,1.546947e-01
36,"Travel_Rarely", 852,"Research & Development", 5,4,"Life Sciences",1,  51,2,"Female", 82,2,1,"Research Scientist",1,"Married", 3419,13072,9,"Y","Yes",14,3,4,80,1, 6,3,4, 1, 1, 0, 0,"Yes",1.549496e-01,8.450504e-01
28,"Travel_Frequently", 289,"Research & Development", 2,2,"Medical",1,1504,3,"Male", 38,2,1,"Laboratory Technician",1,"Single", 2561, 5355,7,"Y","No",11,3,3,80,0, 8,2,2, 0, 0, 0, 0,"Yes",2.907241e-02,9.709276e-01
33,"Travel_Rarely", 350,"Sales", 5,3,"Marketing",1, 485,4,"Female", 34,3,1,"Sales Representative",3,"Single", 2851, 9150,1,"Y","Yes",13,3,2,80,0, 1,2,3, 1, 0, 0, 0,"Yes",3.665293e-02,9.633471e-01
28,"Travel_Rarely", 736,"Sales",26,3,"Life Sciences",1,1387,3,"Male", 48,2,2,"Sales Executive",1,"Married", 4724,24232,1,"Y","No",11,3,3,80,1, 5,0,3, 5, 3, 0, 4,"Yes",3.867401e-01,6.132599e-01
52,"Travel_Frequently", 890,"Research & Development",25,4,"Medical",1, 867,3,"Female", 81,2,4,"Manufacturing Director",4,"Married",13826,19028,3,"Y","No",22,4,3,80,0,31,3,3, 9, 8, 0, 0,"No",9.998560e-01,1.440020e-04
37,"Travel_Rarely",1107,"Research & Development",14,3,"Life Sciences",1, 515,4,"Female", 95,3,1,"Laboratory Technician",1,"Divorced", 3034,26914,1,"Y","No",12,3,3,80,1,18,2,2,18, 7,12,17,"No",9.997796e-01,2.203613e-04
37,"Non-Travel",1063,"Research & Development",25,5,"Medical",1, 529,2,"Female", 72,3,2,"Research Scientist",3,"Married", 4449,23866,3,"Y","Yes",15,3,1,80,2,15,2,3,13,11,10, 7,"No",9.946988e-01,5.301211e-03
46,"Travel_Rarely",1003,"Research & Development", 8,4,"Life Sciences",1,1080,4,"Female", 74,2,2,"Research Scientist",1,"Divorced", 4615,21029,8,"Y","Yes",23,4,1,80,3,19,2,3,16,13, 1, 7,"No",9.967251e-01,3.274946e-03
32,"Travel_Rarely",1093,"Sales", 6,4,"Medical",1, 125,2,"Male", 87,3,2,"Sales Executive",3,"Single", 5010,24301,1,"Y","No",16,3,1,80,0,12,0,3,11, 8, 5, 7,"No",9.288263e-01,7.117374e-02
44,"Travel_Rarely",1448,"Sales",28,3,"Medical",1,1039,4,"Female", 53,4,4,"Sales Executive",4,"Married",13320,11737,3,"Y","Yes",18,3,3,80,1,23,2,3,12,11,11,11,"No",9.999271e-01,7.294365e-05
19,"Travel_Rarely", 265,"Research & Development",25,3,"Life Sciences",1,1269,2,"Female", 57,4,1,"Research Scientist",4,"Single", 2994,21221,1,"Y","Yes",12,3,4,80,0, 1,2,3, 1, 0, 0, 1,"Yes",3.361717e-02,9.663828e-01
37,"Travel_Frequently", 663,"Research & Development",11,3,"Other",1, 306,2,"Male", 47,3,3,"Research Director",4,"Divorced",12185,10056,1,"Y","Yes",14,3,3,80,3,10,1,3,10, 8, 0, 7,"No",9.995551e-01,4.449014e-04
43,"Non-Travel", 343,"Research & Development", 9,3,"Life Sciences",1,1813,1,"Male", 52,3,1,"Research Scientist",3,"Single", 2438,24978,4,"Y","No",13,3,3,80,0, 7,2,2, 3, 2, 1, 2,"Yes",3.918747e-01,6.081253e-01
24,"Travel_Frequently", 381,"Research & Development", 9,3,"Medical",1,1494,2,"Male", 89,3,1,"Laboratory Technician",1,"Single", 3172,16998,2,"Y","Yes",11,3,3,80,0, 4,2,2, 0, 0, 0, 0,"Yes",1.162047e-02,9.883795e-01
41,"Travel_Rarely", 918,"Sales", 6,3,"Marketing",1,1708,4,"Male", 35,3,3,"Sales Executive",3,"Single", 9241,15869,1,"Y","No",12,3,2,80,0,10,3,3,10, 8, 8, 7,"No",9.850527e-01,1.494732e-02
50,"Travel_Rarely", 804,"Research & Development", 9,3,"Life Sciences",1,1030,1,"Male", 64,3,1,"Laboratory Technician",4,"Married", 2380,20165,4,"Y","No",18,3,2,80,0, 8,5,3, 1, 0, 0, 0,"No",5.410763e-01,4.589237e-01
53,"Travel_Rarely",1282,"Research & Development", 5,3,"Other",1,  32,3,"Female", 58,3,5,"Manager",3,"Divorced",19094,10735,4,"Y","No",11,3,4,80,1,26,3,2,14,13, 4, 8,"No",9.999999e-01,1.324998e-07
41,"Travel_Frequently", 840,"Research & Development", 9,3,"Medical",1, 999,1,"Male", 64,3,5,"Research Director",3,"Divorced",19419, 3735,2,"Y","No",17,3,2,80,1,21,2,4,18,16, 0,11,"No",9.999999e-01,9.121664e-08
42,"Travel_Rarely", 691,"Sales", 8,4,"Marketing",1,  35,3,"Male", 48,3,2,"Sales Executive",2,"Married", 6825,21173,0,"Y","No",11,3,4,80,1,10,2,3, 9, 7, 4, 2,"No",9.652640e-01,3.473601e-02
31,"Travel_Rarely",1222,"Research & Development",11,4,"Life Sciences",1, 895,4,"Male", 48,3,1,"Research Scientist",4,"Married", 2356,14871,3,"Y","Yes",19,3,2,80,1, 8,2,3, 6, 4, 0, 2,"No",7.382539e-01,2.617461e-01
26,"Travel_Rarely", 841,"Research & Development", 6,3,"Other",1, 164,3,"Female", 46,2,1,"Research Scientist",2,"Married", 2368,23300,1,"Y","No",19,3,3,80,0, 5,3,2, 5, 4, 4, 3,"No",5.196887e-01,4.803113e-01
48,"Travel_Rarely", 817,"Sales", 2,1,"Marketing",1, 712,2,"Male", 56,4,2,"Sales Executive",2,"Married", 8120,18597,3,"Y","No",12,3,4,80,0,12,3,3, 2, 2, 2, 2,"No",8.372537e-01,1.627463e-01
53,"Travel_Rarely",1219,"Sales", 2,4,"Life Sciences",1,  23,1,"Female", 78,2,4,"Manager",4,"Married",15427,22021,2,"Y","No",16,3,3,80,0,31,3,3,25, 8, 3, 7,"No",9.999916e-01,8.380403e-06
40,"Travel_Rarely",1171,"Research & Development",10,4,"Life Sciences",1, 483,4,"Female", 46,4,1,"Laboratory Technician",3,"Married", 2213,22495,3,"Y","Yes",13,3,3,80,1,10,3,3, 7, 7, 1, 7,"No",9.353350e-01,6.466499e-02
36,"Travel_Frequently", 469,"Research & Development", 3,3,"Technical Degree",1,1257,3,"Male", 46,3,1,"Research Scientist",2,"Married", 3692, 9256,1,"Y","No",12,3,3,80,0,12,2,2,11,10, 0, 7,"No",9.191601e-01,8.083987e-02
36,"Travel_Rarely", 557,"Sales", 3,3,"Medical",1,2024,1,"Female", 94,2,3,"Sales Executive",4,"Married", 7644,12695,0,"Y","No",19,3,3,80,2,10,2,3, 9, 7, 3, 4,"No",9.844712e-01,1.552881e-02
58,"Travel_Rarely",1272,"Research & Development", 5,3,"Technical Degree",1, 940,3,"Female", 37,2,3,"Healthcare Representative",2,"Divorced",10552, 9255,2,"Y","Yes",13,3,4,80,1,24,3,3, 6, 0, 0, 4,"No",9.897755e-01,1.022451e-02
42,"Travel_Rarely",1210,"Research & Development", 2,3,"Medical",1,1542,3,"Male", 68,2,1,"Laboratory Technician",2,"Married", 4841,24052,4,"Y","No",14,3,2,80,1, 4,3,3, 1, 0, 0, 0,"No",5.438243e-01,4.561757e-01
32,"Non-Travel",1474,"Sales",11,4,"Other",1, 631,4,"Male", 60,4,2,"Sales Executive",3,"Married", 4707,23914,8,"Y","No",12,3,4,80,0, 6,2,3, 4, 2, 1, 2,"No",8.235446e-01,1.764554e-01
45,"Non-Travel",1195,"Research & Development", 2,2,"Medical",1, 264,1,"Male", 65,2,4,"Manager",4,"Married",16792,20462,9,"Y","No",23,4,4,80,1,22,1,3,20, 8,11, 8,"No",9.999817e-01,1.828148e-05
31,"Travel_Rarely", 471,"Research & Development", 4,3,"Medical",1,1916,1,"Female", 62,4,1,"Laboratory Technician",3,"Divorced", 3978,16031,8,"Y","No",12,3,2,80,1, 4,0,2, 2, 2, 2, 2,"Yes",3.116269e-01,6.883731e-01
49,"Travel_Rarely",1418,"Research & Development", 1,3,"Technical Degree",1, 887,3,"Female", 36,3,1,"Research Scientist",1,"Married", 3580,10554,2,"Y","No",16,3,2,80,1, 7,2,3, 4, 2, 0, 2,"No",8.219159e-01,1.780841e-01
32,"Travel_Rarely",1018,"Research & Development", 3,2,"Life Sciences",1, 727,3,"Female", 39,3,3,"Research Director",4,"Single",11159,19373,3,"Y","No",15,3,4,80,0,10,6,3, 7, 7, 7, 7,"No",9.988107e-01,1.189291e-03
35,"Travel_Rarely", 195,"Sales", 1,3,"Medical",1, 620,1,"Female", 80,3,2,"Sales Executive",3,"Single", 4859, 6698,1,"Y","No",16,3,4,80,0, 5,3,3, 5, 4, 0, 3,"No",6.435924e-01,3.564076e-01
40,"Travel_Rarely", 369,"Research & Development", 8,2,"Life Sciences",1,1724,2,"Female", 92,3,2,"Manufacturing Director",1,"Married", 6516, 5041,2,"Y","Yes",16,3,2,80,1,18,3,3, 1, 0, 0, 0,"No",8.951181e-01,1.048819e-01
49,"Travel_Rarely",1091,"Research & Development", 1,2,"Technical Degree",1, 431,3,"Female", 90,2,4,"Healthcare Representative",3,"Single",13964,17810,7,"Y","Yes",12,3,4,80,0,25,2,3, 7, 1, 0, 7,"No",9.935855e-01,6.414536e-03
45,"Travel_Frequently", 306,"Sales",26,4,"Life Sciences",1, 684,1,"Female",100,3,2,"Sales Executive",1,"Married", 4286, 5630,2,"Y","No",14,3,4,80,2, 5,4,3, 1, 1, 0, 0,"No",6.668815e-01,3.331185e-01
29,"Travel_Rarely",1176,"Sales", 3,2,"Medical",1, 690,2,"Female", 62,3,2,"Sales Executive",3,"Married", 5561, 3487,1,"Y","No",14,3,1,80,1, 6,5,2, 6, 0, 1, 2,"No",7.375051e-01,2.624949e-01
41,"Non-Travel", 267,"Sales",10,2,"Life Sciences",1, 599,4,"Male", 56,3,2,"Sales Executive",4,"Single", 6230,13430,7,"Y","No",14,3,4,80,0,16,3,3,14, 3, 1,10,"No",9.866392e-01,1.336084e-02
46,"Travel_Rarely",1402,"Sales", 2,3,"Marketing",1,1204,3,"Female", 69,3,4,"Manager",1,"Married",17048,24097,8,"Y","No",23,4,1,80,0,28,2,3,26,15,15, 9,"No",9.999984e-01,1.588024e-06
33,"Travel_Frequently", 515,"Research & Development", 1,2,"Life Sciences",1,  73,1,"Female", 98,3,3,"Research Director",4,"Single",13458,15146,1,"Y","Yes",12,3,3,80,0,15,1,3,15,14, 8,12,"No",9.998763e-01,1.236582e-04
46,"Travel_Rarely",1009,"Research & Development", 2,3,"Life Sciences",1, 575,1,"Male", 51,3,4,"Research Director",3,"Married",17861, 2288,6,"Y","No",13,3,3,80,0,26,2,1, 3, 2, 0, 1,"No",9.994265e-01,5.734651e-04
38,"Travel_Rarely", 827,"Research & Development", 1,4,"Life Sciences",1, 724,2,"Female", 33,4,2,"Healthcare Representative",4,"Single", 7625,19383,0,"Y","No",13,3,3,80,0,10,4,2, 9, 7, 1, 8,"No",9.899714e-01,1.002860e-02
36,"Travel_Rarely", 913,"Research & Development", 9,2,"Medical",1, 699,2,"Male", 48,2,2,"Manufacturing Director",2,"Divorced", 8847,13934,2,"Y","Yes",11,3,3,80,1,13,2,3, 3, 2, 0, 2,"No",9.149955e-01,8.500450e-02
38,"Non-Travel",1327,"Sales", 2,2,"Life Sciences",1, 361,4,"Male", 39,2,2,"Sales Executive",4,"Married", 5249,19682,3,"Y","No",18,3,4,80,1,13,0,3, 8, 7, 7, 5,"No",9.882189e-01,1.178111e-02
31,"Travel_Frequently", 444,"Sales", 5,3,"Marketing",1, 399,4,"Female", 84,3,1,"Sales Representative",2,"Divorced", 2789, 3909,1,"Y","No",11,3,3,80,1, 2,5,2, 2, 2, 2, 2,"Yes",3.437519e-01,6.562481e-01
38,"Travel_Rarely", 268,"Research & Development", 2,5,"Medical",1, 773,4,"Male", 92,3,1,"Research Scientist",3,"Married", 3057,20471,6,"Y","Yes",13,3,2,80,1, 6,0,1, 1, 0, 0, 1,"Yes",2.108931e-01,7.891069e-01
44,"Travel_Rarely",1199,"Research & Development", 4,2,"Life Sciences",1,1288,3,"Male", 92,4,5,"Manager",1,"Divorced",19190,17477,1,"Y","No",14,3,4,80,2,26,4,2,25, 9,14,13,"No",1.000000e+00,2.234136e-08
21,"Travel_Rarely", 546,"Research & Development", 5,1,"Medical",1,1623,3,"Male", 97,3,1,"Research Scientist",4,"Single", 3117,26009,1,"Y","No",18,3,3,80,0, 3,2,3, 2, 2, 2, 2,"Yes",3.499951e-01,6.500049e-01
35,"Travel_Rarely", 817,"Research & Development", 1,3,"Medical",1,1369,4,"Female", 60,2,2,"Laboratory Technician",4,"Married", 5363,10846,0,"Y","No",12,3,2,80,1,10,0,3, 9, 7, 0, 0,"No",9.305563e-01,6.944368e-02
39,"Travel_Rarely", 141,"Human Resources", 3,3,"Human Resources",1, 760,3,"Female", 44,4,2,"Human Resources",2,"Married", 6389,18767,9,"Y","No",15,3,3,80,1,12,3,1, 8, 3, 3, 6,"No",8.419778e-01,1.580222e-01
25,"Travel_Rarely",1382,"Sales", 8,2,"Other",1,2018,1,"Female", 85,3,2,"Sales Executive",3,"Divorced", 4907,13684,0,"Y","Yes",22,4,2,80,1, 6,3,2, 5, 3, 0, 4,"Yes",3.206645e-01,6.793355e-01
29,"Travel_Frequently", 461,"Research & Development", 1,3,"Life Sciences",1,1753,4,"Male", 70,4,2,"Healthcare Representative",3,"Single", 6294,23060,8,"Y","Yes",12,3,4,80,0,10,5,4, 3, 2, 0, 2,"Yes",2.951862e-01,7.048138e-01
30,"Travel_Frequently", 464,"Research & Development", 4,3,"Technical Degree",1, 514,3,"Male", 40,3,1,"Research Scientist",4,"Single", 2285, 3427,9,"Y","Yes",23,4,3,80,0, 3,4,3, 1, 0, 0, 0,"Yes",2.402039e-02,9.759796e-01
34,"Travel_Rarely", 971,"Sales", 1,3,"Technical Degree",1,1535,4,"Male", 64,2,3,"Sales Executive",3,"Married", 7083,12288,1,"Y","Yes",14,3,4,80,0,10,3,3,10, 9, 8, 6,"No",9.208101e-01,7.918993e-02
47,"Travel_Frequently", 719,"Sales",27,2,"Life Sciences",1, 785,2,"Female", 77,4,2,"Sales Executive",3,"Single", 6397,10339,4,"Y","Yes",12,3,4,80,0, 8,2,3, 5, 4, 1, 3,"Yes",2.365320e-01,7.634680e-01
34,"Travel_Rarely", 258,"Sales",21,4,"Life Sciences",1, 621,4,"Male", 74,4,2,"Sales Executive",4,"Single", 5337,19921,1,"Y","No",12,3,4,80,0,10,3,3,10, 7, 5, 7,"No",9.533053e-01,4.669469e-02
35,"Travel_Frequently", 130,"Research & Development",25,4,"Life Sciences",1, 881,4,"Female", 96,3,1,"Research Scientist",2,"Divorced", 2022,16612,1,"Y","Yes",19,3,1,80,1,10,3,2,10, 2, 7, 8,"No",7.314345e-01,2.685655e-01
42,"Travel_Frequently",1474,"Research & Development", 5,2,"Other",1, 591,2,"Male", 97,3,1,"Laboratory Technician",3,"Married", 2093, 9260,4,"Y","No",17,3,4,80,1, 8,4,3, 2, 2, 2, 0,"No",7.391201e-01,2.608799e-01
34,"Travel_Rarely",1130,"Research & Development", 3,3,"Life Sciences",1,1658,4,"Female", 66,3,2,"Research Scientist",2,"Divorced", 5433,19332,1,"Y","No",12,3,3,80,1,11,2,3,11, 8, 7, 9,"No",9.972184e-01,2.781623e-03
